ID,name,cname,population,lon,lat
3402,安徽省芜湖市,芜湖市,226.3,118.3841084,31.36601979
4112,河南省三门峡市,三门峡市,223.39,111.1812621,34.78331994
6228,甘肃省庆阳地区,庆阳市,221.12,107.6442271,35.72680075
6301,青海省西宁市,西宁市,220.87,101.767921,36.64073861
612601,陕西省延安市,延安市,218.7,109.5005098,36.60332035
420681,湖北省随州市,随州市,216.22,113.3793584,31.71785761
1526,内蒙古乌兰察布盟,乌兰察布市,214.36,113.1128464,41.02236295
2104,辽宁省抚顺市,抚顺市,213.81,123.9298198,41.87730383
3308,浙江省衢州市,衢州市,212.27,118.8758417,28.95691045
332501,浙江省丽水市,丽水市,211.7,119.9295758,28.45629955
3406,安徽省淮北市,淮北市,211.4,116.7914474,33.96002331
452226,广西来宾县,来宾市,209.97,109.2318165,23.74116593
622701,甘肃省平凉市,平凉市,206.8,106.6889112,35.55011019
4601,海南省海口市,海口市,204.62,110.3308018,20.02207128
3705,山东省东营市,东营市,203.53,118.5839263,37.48712116
2208,吉林省白城市,白城市,203.31,122.8407767,45.62108628
6532,新疆和田地区,和田地区,201.44,79.93023864,37.11677449
452129,广西崇左县,崇左市,199.43,107.357322,22.4154553
6401,宁夏银川市,银川市,199.31,106.2064786,38.50262101
452426,广西贺州,贺州市,195.41,111.5525942,24.41105355
6229,甘肃省临夏回族自治州,临夏州,194.67,103.2152492,35.59851435
1527,内蒙古伊克昭盟-鄂尔多斯,鄂尔多斯市,194.07,109.9937063,39.81648956
2303,黑龙江鸡西市,鸡西市,186.22,130.9417673,45.32153989
2110,辽宁省辽阳市,辽阳市,185.88,123.1724512,41.27333927
3603,江西省萍乡市,萍乡市,185.45,113.859917,27.63954422
2109,辽宁省阜新市,阜新市,181.93,121.6608221,42.01925011
622301,甘肃省武威市,武威市,181.51,102.6401473,37.93317214
1406,山西省朔州市,朔州市,171.49,112.4799277,39.33767197
2105,辽宁省本溪市,本溪市,170.95,123.7780624,41.32583763
6204,甘肃省白银市,白银市,170.88,104.1712409,36.54668171
2311,黑龙江黑河市,黑河市,167.39,127.5008303,50.25069009
1528,内蒙古巴彦淖尔盟,巴彦淖尔市,166.99,107.4238067,40.7691799
1522,内蒙古兴安盟,兴安盟,161.33,122.0481665,46.08375707
3602,江西省景德镇市,景德镇市,158.75,117.1865226,29.30356277
4106,河南省鹤壁市,鹤壁市,156.91,114.2977698,35.75542587
4404,广东省珠海市,珠海市,156.02,113.562447,22.25691465
4505,广西北海市　,北海市,153.93,109.1226279,21.47271824
513101,四川省雅安市,雅安市,150.73,103.0093565,29.99971634
4308,湖南省大庸-张家界市,张家界市,147.65,110.4816202,29.12488935
2305,黑龙江双鸭山市,双鸭山市,146.26,131.1714017,46.65510206
6523,新疆昌吉回族自治州,昌吉州,142.86,87.29603813,44.0070579
3429,安徽省池州地区,池州市,140.3,117.4944768,30.66001925
2111,辽宁省盘锦市,盘锦市,139.25,122.0732278,41.14124802
1403,山西省阳泉市,阳泉市,136.85,113.5692376,37.86952949
3405,安徽省马鞍山市,马鞍山市,136.6,118.5158818,31.68852816
3410,安徽省黄山市,黄山市,135.9,118.2935696,29.73443486
3712,山东省莱芜市,莱芜市,129.85,117.6846669,36.23365413
220681,吉林省临江-白山市,白山市,129.66,126.4357977,41.9458594
6528,新疆巴音郭楞蒙古自治州,巴音郭楞州,127.85,86.12168836,41.7713622
642101,宁夏吴忠市,吴忠市,127.38,106.2082542,37.993561
5332,云南省丽江地区,丽江市,124.5,100.2296284,26.87535109
6422,宁夏固原地区,固原市,122.82,106.285268,36.02152348
6542,新疆塔城地区,塔城地区,121.92,82.97488058,46.75868363
5104,四川省攀枝花市,攀枝花市,121.41,101.7224232,26.58757126
5331,云南省德宏傣族景颇族自治州,德宏州,121.1,98.58943429,24.44123966
622201,甘肃省张掖市,张掖市,119.95,100.4598919,38.9393203
2204,吉林省辽源市,辽源市,117.66,125.1336861,42.92330262
2307,黑龙江伊春市,伊春市,114.81,128.910766,47.73468508
3605,江西省新余市,新余市,113.89,114.9471174,27.82232156
5328,云南省西双版纳傣族自治州,版纳州,113.4,100.8030383,22.009433
3606,江西省鹰潭市,鹰潭市,112.49,117.0354502,28.2413096
3309,浙江省舟山市,舟山市,112.13,122.1698721,30.0360103
622102,甘肃省酒泉市,酒泉市,109.59,98.50841451,39.74147377
5133,四川省甘孜藏族自治州,甘孜州,109.19,101.9692321,30.05514411
642123,宁夏中卫县,中卫市,108.08,105.1967542,37.52112419
2304,黑龙江鹤岗市,鹤岗市,105.87,130.2924721,47.3386659
4207,湖北省鄂州市,鄂州市,104.87,114.895594,30.38443932
1525,内蒙古锡林郭勒盟,锡林郭勒盟,102.8,116.0273397,43.93970484
2309,黑龙江七台河市,七台河市,92.04,131.019048,45.77500537
5132,四川省阿坝藏族羌族自治州,阿坝州,89.87,102.2285647,31.90576286
4506,广西防城港市,防城港市,86.69,108.3517912,21.61739847
6102,陕西省铜川市,铜川市,83.44,108.968067,34.9083677
6402,宁夏石嘴山市,石嘴山市,72.55,106.3793372,39.02022328
3407,安徽省铜陵市,铜陵市,72.4,117.8194287,30.94092969
6230,甘肃省甘南藏族自治州,甘南州,68.91,102.9174425,34.99221118
4602,海南省三亚市,三亚市,68.54,109.5227713,18.25777591
410881,河南省济源市,济源市,67.57,112.405268,35.10536456
6543,新疆阿勒泰地区,阿勒泰地区,60.33,88.13791549,47.83974449
5401,西藏拉萨市,拉萨市,55.94,91.1118909,29.66255706
5333,云南省怒江傈僳族自治州,怒江州,53.4,98.85993204,25.86067698
1503,内蒙古乌海市,乌海市,53.29,106.8319991,39.68317701
6530,新疆克孜勒苏柯尔克孜自治州,克孜勒苏州,52.56,76.13756448,39.75034558
2327,黑龙江大兴安岭地区,大兴安岭地区,51.16,124.1961042,51.99178897
6328,青海省海西蒙古族藏族自治州,海西州,48.93,97.34262542,37.37379907
6203,甘肃省金昌市,金昌市,46.41,102.2081263,38.5160718
