ID,date,confirmed,deaths,d_confirmed,d_deaths
JP,2021-10-27,1721266,18225,310,7
JP,2021-10-28,1721539,18234,273,9
JP,2021-10-29,1721831,18250,292,16
JP,2021-10-30,1722115,18257,284,7
JP,2021-10-31,1722343,18264,228,7
JP,2021-11-01,1722427,18271,84,7
JP,2021-11-02,1722648,18278,221,7
JP,2021-11-03,1722912,18286,264,8
JP,2021-11-04,1723070,18292,158,6
JP,2021-11-05,1723295,18304,225,12
JP,2021-11-06,1723525,18306,230,2
JP,2021-11-07,1723682,18306,157,0
JP,2021-11-08,1723782,18309,100,3
JP,2021-11-09,1723976,18312,194,3
JP,2021-11-10,1724172,18315,196,3
JP,2021-11-11,1724379,18319,207,4
JP,2021-11-12,1724573,18320,194,1
JP,2021-11-13,1724767,18321,194,1
JP,2021-11-14,1724893,18323,126,2
JP,2021-11-15,1724967,18324,74,1
JP,2021-11-16,1725111,18328,144,4
JP,2021-11-17,1725310,18333,199,5
JP,2021-11-18,1725458,18338,148,5
JP,2021-11-19,1725611,18338,153,0
JP,2021-11-20,1725715,18343,104,5
JP,2021-11-21,1725850,18343,135,0
JP,2021-11-22,1725894,18345,44,2
JP,2021-11-23,1726001,18347,107,2
JP,2021-11-24,1726074,18349,73,2
JP,2021-11-25,1726186,18351,112,2
JP,2021-11-26,1726299,18353,113,2
JP,2021-11-27,1726419,18354,120,1
JP,2021-11-28,1726479,18354,60,0
JP,2021-11-29,1726555,18355,76,1
JP,2021-11-30,1726636,18357,81,2
JP,2021-12-01,1726751,18358,115,1
JP,2021-12-02,1726864,18359,113,1
JP,2021-12-03,1727005,18360,141,1
